user_id,activity,timestamp,acc_x,acc_y,acc_z
1,Standing,1499193336460,-7.794,0.035,0.103
1,Standing,1499193336510,-7.777,0.091,0.109
1,Standing,1499193336559,-7.8,0.021,0.158
1,Standing,1499193336606,-7.775,0.087,0.167
1,Standing,1499193336657,-7.785,0.015,0.111
1,Standing,1499193336705,-7.751,0.046,0.199
1,Standing,1499193336753,-7.785,0.091,0.095
1,Standing,1499193336802,-7.802,0.021,0.13
1,Standing,1499193336851,-7.748,0.119,0.162
1,Standing,1499193336901,-7.826,0,0.083
1,Standing,1499193336948,-7.785,0.082,0.201
1,Standing,1499193336997,-7.802,0.013,0.105
1,Standing,1499193337046,-7.775,-0.007,0.16
1,Standing,1499193337095,-7.74,0.111,0.214
1,Standing,1499193337145,-7.867,-0.033,0.101
1,Standing,1499193337194,-7.718,0.05,0.205
1,Standing,1499193337241,-7.81,0.027,0.095
1,Standing,1499193337290,-7.83,0.06,0.166
1,Standing,1499193337339,-7.773,0.064,0.191
1,Standing,1499193337388,-7.769,-0.05,0.136
1,Standing,1499193337437,-7.757,0.148,0.197
1,Standing,1499193337486,-7.835,-0.031,0.089
1,Standing,1499193337534,-7.777,0.113,0.205
1,Standing,1499193337584,-7.859,0.003,0.111
1,Standing,1499193337634,-7.791,0.05,0.185
1,Standing,1499193337681,-7.781,0.074,0.128
1,Standing,1499193337731,-7.853,0.015,0.126
1,Standing,1499193337779,-7.73,0.109,0.222
1,Standing,1499193337828,-7.765,-0.007,0.121
1,Standing,1499193337877,-7.767,0.08,0.175
1,Standing,1499193337925,-7.763,0.05,0.109
1,Standing,1499193337974,-7.808,0.039,0.148
1,Standing,1499193338022,-7.796,0.111,0.177
1,Standing,1499193338071,-7.808,0.046,0.101
1,Standing,1499193338121,-7.783,0.06,0.214
1,Standing,1499193338169,-7.783,0.003,0.146
1,Standing,1499193338218,-7.806,0.072,0.132
1,Standing,1499193338267,-7.763,0.015,0.119
1,Standing,1499193338315,-7.806,0.054,0.21
1,Standing,1499193338366,-7.783,0.056,0.175
1,Standing,1499193338413,-7.814,-0.015,0.117
1,Standing,1499193338462,-7.755,0.056,0.169
1,Standing,1499193338511,-7.771,0.021,0.148
1,Standing,1499193338561,-7.802,0.08,0.115
1,Standing,1499193338608,-7.761,0.046,0.138
1,Standing,1499193338658,-7.779,-0.001,0.101
1,Standing,1499193338706,-7.792,0.056,0.154
1,Standing,1499193338755,-7.81,0.025,0.146
1,Standing,1499193338804,-7.746,0.013,0.142
